"plotID","pointID","country","state","county","domain","domainID","siteName","siteID","plotType","subtype","subSpec","plotSize","plotDim","latitude","longitude","datum","utmZone","easting","northing","horzUncert","elevation","vertUncert","minElev","maxElev","slope","aspect","nlcdClass","soilOrder","coordSrc","date","gpsLogs","plotPdop","plotHdop","appMods","plotEdge"
"ABBY_011","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.743361,-122.358994,"WGS84","10N",549863.536,5065733.54,0.1,497.02,0.1,488.99,503.7,11.53,225,"grasslandHerbaceous","Inceptisols","Geo 7X (H-Star)","20160518",206,1.5,0.7,"bet|brd|cdw|cfc|dhp|div|hbp|vst",40
"ABBY_005","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.770977,-122.389412,"WGS84","10N",547473.873,5068783.296,0.1,472.25,0.1,470.2,477.66,9.65,310,"shrubScrub","Ultisols","Geo 7X (H-Star)","20160518",237,1.3,0.7,"brd|cdw|cfc|dhp|div|hbp|vst",40
"ABBY_012","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.754263,-122.384239,"WGS84","10N",547890.374,5066929.326,0.1,438.99,0.1,434.73,441.62,2.98,45,"shrubScrub","Ultisols","Geo 7X (H-Star)","20160520",180,1.8,1.1,"brd|cdw|cfc|dhp|div|hbp|vst",40
"ABBY_015","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.732279,-122.300349,"WGS84","10N",554436.24,5064540.597,0.1,703.63,0.1,697.34,715.77,24.23,180,"shrubScrub","Inceptisols","Geo 7X (H-Star)","20160518",122,1.7,0.8,"div",40
"ABBY_019","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.752593,-122.325825,"WGS84","10N",552435.104,5066780.441,0.1,418.15,0.1,412.69,421.77,13.5,90,"evergreenForest","Andisols","Geo 7X (H-Star)","20160606",659,1.7,0.9,"brd|cdw|cfc|dhp|div|hbp|vst",40
"ABBY_023","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.744589,-122.381659,"WGS84","10N",548099.384,5065856.144,0.13,507.54,0.17,502.47,511.15,2.81,180,"mixedForest","Ultisols","Geo 7X (H-Star)","20160519",313,3.6,2,"bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",40
"ABBY_004","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.76858,-122.298736,"WGS84","10N",554526.433,5068574.728,0.1,586.13,0.1,578.48,588.08,12.73,87,"shrubScrub","Inceptisols","Geo 7X (H-Star)","20160517",160,1.5,0.7,"bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",40
"ABBY_018","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.764526,-122.38678,"WGS84","10N",547684.017,5068068.109,0.1,459.48,0.1,456.63,468,6.28,0,"grasslandHerbaceous","Ultisols","Geo 7X (H-Star)","20160524",301,1.9,1,"brd|cdw|cfc|dhp|div|hbp|vst",40
"ABBY_009","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.76561,-122.299532,"WGS84","10N",554467.4,5068244.246,0.1,538.63,0.1,532.81,545.82,12.08,0,"shrubScrub","Andisols","Geo 7X (H-Star)","20160517",140,1.7,0.8,"bet|brd|cdw|cfc|dhp|div|hbp|vst",40
"ABBY_030","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.772435,-122.316395,"WGS84","10N",553149.702,5068991.248,0.29,377.14,0.35,369.42,379.8,9.98,45,"mixedForest","Andisols","Geo 7X (H-Star)","20160616",1253,12.3,5.7,"div",40
"ABBY_014","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.751186,-122.317373,"WGS84","10N",553093.765,5066629.74,0.36,466.02,0.4,450.32,481.29,24.23,225,"evergreenForest","Inceptisols","Geo 7X (H-Star)","20160613",1210,159.5,89,"brd|cdw|cfc|dhp|div|hbp|vst",40
"ABBY_029","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.764081,-122.313751,"WGS84","10N",553363.209,5068064.748,0.28,359.9,0.27,354.6,359.97,6.84,44.8,"mixedForest","Andisols","Geo 7X (H-Star)","20160608",618,7,4.2,"div",40
"ABBY_006","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.754053,-122.298512,"WGS84","10N",554557.953,5066960.965,0.22,534.21,0.22,517.31,543.12,24.23,225,"evergreenForest","Andisols","Geo 7X (H-Star)","20160520",306,5.4,2.6,"bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",40
"ABBY_001","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.772619,-122.346369,"WGS84","10N",550819.025,5068992.14,0.26,302.62,0.3,297.45,307.65,7.8,135,"evergreenForest","Andisols","Geo 7X (H-Star)","20160511",641,3.9,2.4,"bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",40
"ABBY_007","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.768936,-122.361007,"WGS84","10N",549684.252,5068573.756,0.23,444.48,0.26,437.62,454.29,9.65,225,"evergreenForest","Inceptisols","Geo 7X (H-Star)","20160518",747,6.7,5.7,"bet|brd|cdw|cfc|dhp|div|hbp|vst",40
"ABBY_008","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.771358,-122.355223,"WGS84","10N",550131.807,5068846.389,0.21,352.64,0.36,347.65,359.4,9.09,45,"evergreenForest","Inceptisols","Geo 7X (H-Star)","20160519",351,4,1.8,"bet|brd|cdw|cfc|dhp|div|hbp|vst",40
"ABBY_025","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.76953,-122.324489,"WGS84","10N",552523.063,5068663.055,0.2,321.8,0.25,314.7,325.76,12.68,135,"mixedForest","Andisols","Geo 7X (H-Star)","20160516",553,3.8,2,"cdw|cfc|dhp|div|hbp|vst",40
"ABBY_020","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.767791,-122.303342,"WGS84","10N",554169,5068483.93,0.19,505.38,0.21,489.88,511.59,11.31,225,"evergreenForest","Andisols","Geo 7X (H-Star)","20160606",402,14,7.6,"brd|div",40
"ABBY_010","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.776549,-122.375934,"WGS84","10N",548516.969,5069410.372,0.17,552.63,0.25,552.07,561.09,3.43,135,"evergreenForest","Inceptisols","Geo 7X (H-Star)","20160608",611,6.7,2.8,"bet|brd|cdw|cfc|dhp|div|hbp|vst",40
"ABBY_016","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.746995,-122.332415,"WGS84","10N",551927.684,5066154.244,0.13,379.84,0.16,379.84,387.23,5.94,135,"evergreenForest","Andisols","Geo 7X (H-Star)","20160517",313,5.6,1.7,"brd|cdw|cfc|dhp|div|hbp|vst",40
"ABBY_002","41","unitedStates","WA","Clark","Pacific Northwest","D16","Abby Road","ABBY","distributed","basePlot",,1600,"40m x 40m",45.739055,-122.309112,"WGS84","10N",553747.919,5065287.429,0.1,638.38,0.1,634.82,641.07,9.93,90,"grasslandHerbaceous","Andisols","Geo 7X (H-Star)","20160516",205,1.3,0.7,"bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst",40
