"domainID","siteID","nlcdYear","nlcdClass","area_km2"
"D01","BART","2006","developedLowIntensity",0.0198
"D01","BART","2006","developedOpenSpace",0.2232
"D01","BART","2006","shrubScrub",0.0945
"D01","BART","2006","deciduousForest",5.5017
"D01","BART","2006","evergreenForest",1.8621
"D01","BART","2006","grasslandHerbaceous",0.0522
"D01","BART","2006","mixedForest",7.8399
"D01","BART","2006","woodyWetlands",0.0279
"D01","HARV","2006","barrenLand",0.0045
"D01","HARV","2006","developedLowIntensity",0.0468
"D01","HARV","2006","developedMediumIntensity",0.0036
"D01","HARV","2006","developedOpenSpace",1.3995
"D01","HARV","2006","emergentHerbaceousWetlands",0.3636
"D01","HARV","2006","openWater",0.4725
"D01","HARV","2006","shrubScrub",0.5463
"D01","HARV","2006","deciduousForest",16.1604
"D01","HARV","2006","evergreenForest",11.1168
"D01","HARV","2006","grasslandHerbaceous",0.0432
"D01","HARV","2006","mixedForest",7.1172
"D01","HARV","2006","woodyWetlands",2.2284
"D01","HARV","2006","pastureHay",0.2754
"D01","HARV","2006","cultivatedCrops",0.0126
"D02","BLAN","2006","developedOpenSpace",0.1728
"D02","BLAN","2006","openWater",0.0396
"D02","BLAN","2006","deciduousForest",1.5462
"D02","BLAN","2006","evergreenForest",0.0279
"D02","BLAN","2006","mixedForest",0.018
"D02","BLAN","2006","woodyWetlands",0.0099
"D02","BLAN","2006","pastureHay",1.2276
"D02","SCBI","NEON NLCD corrected","developedLowIntensity",0.1233
"D02","SCBI","NEON NLCD corrected","developedMediumIntensity",0.0117
"D02","SCBI","NEON NLCD corrected","openWater",0.0036
"D02","SCBI","NEON NLCD corrected","shrubScrub",0.5571
"D02","SCBI","NEON NLCD corrected","deciduousForest",8.3412
"D02","SCBI","NEON NLCD corrected","mixedForest",0.072
"D02","SCBI","NEON NLCD corrected","pastureHay",0.9711
"D02","SERC","2006","developedLowIntensity",0.0162
"D02","SERC","2006","developedMediumIntensity",9e-04
"D02","SERC","2006","developedOpenSpace",0.3033
"D02","SERC","2006","emergentHerbaceousWetlands",0.5904
"D02","SERC","2006","openWater",0.2952
"D02","SERC","2006","shrubScrub",0.0927
"D02","SERC","2006","deciduousForest",4.6809
"D02","SERC","2006","evergreenForest",0.1602
"D02","SERC","2006","mixedForest",0.2088
"D02","SERC","2006","woodyWetlands",2.7621
"D02","SERC","2006","pastureHay",0.4374
"D02","SERC","2006","cultivatedCrops",0.954
"D03","DSNY","2006","developedLowIntensity",0.0135
"D03","DSNY","2006","developedOpenSpace",0.4842
"D03","DSNY","2006","emergentHerbaceousWetlands",2.3256
"D03","DSNY","2006","openWater",0.6921
"D03","DSNY","2006","shrubScrub",0.7821
"D03","DSNY","2006","grasslandHerbaceous",0.6957
"D03","DSNY","2006","woodyWetlands",39.5766
"D03","DSNY","2006","pastureHay",3.9897
"D03","JERC","2006","developedLowIntensity",0.0135
"D03","JERC","2006","developedOpenSpace",0.4653
"D03","JERC","2006","emergentHerbaceousWetlands",0.0099
"D03","JERC","2006","shrubScrub",0.4626
"D03","JERC","2006","deciduousForest",3.0636
"D03","JERC","2006","evergreenForest",3.6108
"D03","JERC","2006","grasslandHerbaceous",0.9729
"D03","JERC","2006","mixedForest",1.5651
"D03","JERC","2006","woodyWetlands",0.6003
"D03","JERC","2006","pastureHay",1.0125
"D03","JERC","2006","cultivatedCrops",1.5192
"D03","OSBS","NEON NLCD corrected","barrenLand",0.0549
"D03","OSBS","NEON NLCD corrected","emergentHerbaceousWetlands",4.7898
"D03","OSBS","NEON NLCD corrected","openWater",3.3687
"D03","OSBS","NEON NLCD corrected","shrubScrub",0.405
"D03","OSBS","NEON NLCD corrected","deciduousForest",6.1875
"D03","OSBS","NEON NLCD corrected","evergreenForest",9.909
"D03","OSBS","NEON NLCD corrected","grasslandHerbaceous",0.5625
"D03","OSBS","NEON NLCD corrected","mixedForest",4.7151
"D03","OSBS","NEON NLCD corrected","woodyWetlands",6.8967
"D03","OSBS","NEON NLCD corrected","pastureHay",0.0333
"D04","GUAN","2001","barrenLand",0.0153
"D04","GUAN","2001","developedLowIntensity",0.0702
"D04","GUAN","2001","developedMediumIntensity",0.0234
"D04","GUAN","2001","developedOpenSpace",0.0054
"D04","GUAN","2001","openWater",0.0324
"D04","GUAN","2001","shrubScrub",0.0693
"D04","GUAN","2001","evergreenForest",26.1387
"D04","GUAN","2001","grasslandHerbaceous",1.9026
"D04","GUAN","2001","woodyWetlands",0.0738
"D04","GUAN","2001","cultivatedCrops",0.009
"D04","LAJA","2001","developedLowIntensity",0.1332
"D04","LAJA","2001","developedMediumIntensity",0.0378
"D04","LAJA","2001","developedOpenSpace",0.0756
"D04","LAJA","2001","shrubScrub",0.0954
"D04","LAJA","2001","evergreenForest",0.2871
"D04","LAJA","2001","grasslandHerbaceous",0.7344
"D04","LAJA","2001","developedHighIntensity",0.0045
"D04","LAJA","2001","pastureHay",1.8711
"D04","LAJA","2001","cultivatedCrops",0.9252
"D05","STEI","2006","developedLowIntensity",0.0018
"D05","STEI","2006","developedOpenSpace",0.6084
"D05","STEI","2006","emergentHerbaceousWetlands",0.4329
"D05","STEI","2006","openWater",0.0396
"D05","STEI","2006","shrubScrub",0.0774
"D05","STEI","2006","deciduousForest",16.7103
"D05","STEI","2006","evergreenForest",0.2223
"D05","STEI","2006","grasslandHerbaceous",0.1323
"D05","STEI","2006","mixedForest",2.349
"D05","STEI","2006","woodyWetlands",3.168
"D05","STEI","2006","cultivatedCrops",0.0144
"D05","TREE","2006","developedLowIntensity",0.0099
"D05","TREE","2006","developedOpenSpace",0.0918
"D05","TREE","2006","emergentHerbaceousWetlands",0.3924
"D05","TREE","2006","openWater",0.0153
"D05","TREE","2006","shrubScrub",0.0117
"D05","TREE","2006","deciduousForest",0.9765
"D05","TREE","2006","evergreenForest",0.4203
"D05","TREE","2006","grasslandHerbaceous",0.198
"D05","TREE","2006","mixedForest",1.152
"D05","TREE","2006","woodyWetlands",1.4589
"D05","UNDE","2006","developedOpenSpace",1.3626
"D05","UNDE","2006","emergentHerbaceousWetlands",0.7236
"D05","UNDE","2006","openWater",4.1724
"D05","UNDE","2006","shrubScrub",0.1881
"D05","UNDE","2006","deciduousForest",6.2784
"D05","UNDE","2006","evergreenForest",0.7596
"D05","UNDE","2006","grasslandHerbaceous",0.0288
"D05","UNDE","2006","mixedForest",2.5659
"D05","UNDE","2006","woodyWetlands",13.356
"D06","KONA","2011","cultivatedCrops",2.7369
"D06","KONZ","2006","developedLowIntensity",0.0459
"D06","KONZ","2006","developedMediumIntensity",0.0126
"D06","KONZ","2006","developedOpenSpace",0.7803
"D06","KONZ","2006","emergentHerbaceousWetlands",0.1395
"D06","KONZ","2006","deciduousForest",3.267
"D06","KONZ","2006","grasslandHerbaceous",29.7054
"D06","KONZ","2006","mixedForest",0.0594
"D06","KONZ","2006","woodyWetlands",0.1827
"D06","KONZ","2006","cultivatedCrops",0.279
"D06","UKFS","2006","developedOpenSpace",0.1674
"D06","UKFS","2006","openWater",0.0657
"D06","UKFS","2006","shrubScrub",0.0765
"D06","UKFS","2006","deciduousForest",3.9942
"D06","UKFS","2006","grasslandHerbaceous",0.6237
"D06","UKFS","2006","mixedForest",0.0054
"D06","UKFS","2006","pastureHay",1.242
"D07","GRSM","2006","developedLowIntensity",0.0126
"D07","GRSM","2006","developedMediumIntensity",0.0117
"D07","GRSM","2006","developedOpenSpace",0.7389
"D07","GRSM","2006","shrubScrub",0.1071
"D07","GRSM","2006","deciduousForest",27.9396
"D07","GRSM","2006","evergreenForest",2.7108
"D07","GRSM","2006","grasslandHerbaceous",0.0036
"D07","GRSM","2006","mixedForest",1.1853
"D07","GRSM","2006","woodyWetlands",0.117
"D07","MLBS","2011","developedOpenSpace",0.2385
"D07","MLBS","2011","emergentHerbaceousWetlands",0.0072
"D07","MLBS","2011","openWater",0.0054
"D07","MLBS","2011","deciduousForest",8.9919
"D07","MLBS","2011","evergreenForest",1.2537
"D07","MLBS","2011","grasslandHerbaceous",0.2016
"D07","MLBS","2011","mixedForest",0.4392
"D07","MLBS","2011","woodyWetlands",0.0216
"D07","ORNL","2006","barrenLand",0.693
"D07","ORNL","2006","developedLowIntensity",7.6068
"D07","ORNL","2006","developedMediumIntensity",4.833
"D07","ORNL","2006","developedOpenSpace",7.3701
"D07","ORNL","2006","emergentHerbaceousWetlands",0.0045
"D07","ORNL","2006","openWater",6.5952
"D07","ORNL","2006","shrubScrub",0.5913
"D07","ORNL","2006","deciduousForest",77.6781
"D07","ORNL","2006","evergreenForest",9.6831
"D07","ORNL","2006","grasslandHerbaceous",3.1995
"D07","ORNL","2006","mixedForest",4.3029
"D07","ORNL","2006","woodyWetlands",5.2038
"D07","ORNL","2006","developedHighIntensity",3.5271
"D07","ORNL","2006","pastureHay",6.7761
"D07","ORNL","2006","cultivatedCrops",0.1071
"D08","DELA","2006","developedOpenSpace",0.0333
"D08","DELA","2006","emergentHerbaceousWetlands",0.0252
"D08","DELA","2006","openWater",0.5724
"D08","DELA","2006","shrubScrub",0.0063
"D08","DELA","2006","deciduousForest",0.0603
"D08","DELA","2006","evergreenForest",0.3753
"D08","DELA","2006","mixedForest",0.0243
"D08","DELA","2006","woodyWetlands",2.961
"D08","DELA","2006","pastureHay",0.0459
"D08","LENO","2006","barrenLand",0.0162
"D08","LENO","2006","developedOpenSpace",0.2538
"D08","LENO","2006","openWater",0.5139
"D08","LENO","2006","shrubScrub",0.0594
"D08","LENO","2006","deciduousForest",1.9188
"D08","LENO","2006","evergreenForest",0.0135
"D08","LENO","2006","grasslandHerbaceous",0.0144
"D08","LENO","2006","mixedForest",0.0351
"D08","LENO","2006","woodyWetlands",4.3002
"D08","LENO","2006","pastureHay",0.2502
"D08","TALL","2006","developedOpenSpace",0.549
"D08","TALL","2006","openWater",0.549
"D08","TALL","2006","shrubScrub",0.4185
"D08","TALL","2006","deciduousForest",16.6113
"D08","TALL","2006","evergreenForest",18.2457
